method,budget,seed,attempted,scored,eligible_scored,successes,success_rate,coverage_rate,mean_absolute_delta
random_graph::node_add,1,89,58,58,30,0,0.0,1.0,0.00023595484924884643
random_graph::node_add,1,101,58,58,30,0,0.0,1.0,0.0021427476469778836
random_graph::node_add,1,137,58,58,30,0,0.0,1.0,0.0010147836383979294
random_graph::node_add,1,2026,58,58,30,0,0.0,1.0,8.29757015241616e-05
random_graph::node_add,3,7,58,58,30,2,0.06666666666666667,1.0,0.05660047020709446
random_graph::node_add,3,17,58,58,30,0,0.0,1.0,0.015948100048796328
random_graph::node_add,3,29,58,58,30,0,0.0,1.0,0.03440036165344733
random_graph::node_add,3,42,58,58,30,0,0.0,1.0,0.02521208660556525
random_graph::node_add,3,61,58,58,30,0,0.0,1.0,0.02980586974648192
random_graph::node_add,3,73,58,58,30,0,0.0,1.0,0.0029459333382023814
random_graph::node_add,3,89,58,58,30,0,0.0,1.0,0.0067481448697458155
random_graph::node_add,3,101,58,58,30,0,0.0,1.0,0.03777743052407871
random_graph::node_add,3,137,58,58,30,0,0.0,1.0,0.03211679672716116
random_graph::node_add,3,2026,58,58,30,0,0.0,1.0,0.03773440072423161
random_graph::node_add,5,7,58,58,30,2,0.06666666666666667,1.0,0.0438264478049723
random_graph::node_add,5,17,58,58,30,0,0.0,1.0,0.04692671821822205
random_graph::node_add,5,29,58,58,30,0,0.0,1.0,0.08433519611017921
random_graph::node_add,5,42,58,58,30,0,0.0,1.0,0.03494770012450926
random_graph::node_add,5,61,58,58,30,0,0.0,1.0,0.06283115036911224
random_graph::node_add,5,73,58,58,30,0,0.0,1.0,0.006340251913257985
random_graph::node_add,5,89,58,58,30,1,0.03333333333333333,1.0,0.04461932781035756
random_graph::node_add,5,101,58,58,30,0,0.0,1.0,0.06269903369599343
random_graph::node_add,5,137,58,58,30,0,0.0,1.0,0.0616216376326925
random_graph::node_add,5,2026,58,58,30,1,0.03333333333333333,1.0,0.08301251699793019
random_graph::node_attribute_modify,1,7,58,58,30,1,0.03333333333333333,1.0,0.026502218344789816
random_graph::node_attribute_modify,1,17,58,58,30,0,0.0,1.0,0.056886139434971256
random_graph::node_attribute_modify,1,29,58,58,30,0,0.0,1.0,0.07807629180189166
random_graph::node_attribute_modify,1,42,58,58,30,0,0.0,1.0,0.04377476123993525
random_graph::node_attribute_modify,1,61,58,58,30,2,0.06666666666666667,1.0,0.06953341497311655
random_graph::node_attribute_modify,1,73,58,58,30,0,0.0,1.0,0.005277547696371045
random_graph::node_attribute_modify,1,89,58,58,30,0,0.0,1.0,0.02576596491765972
random_graph::node_attribute_modify,1,101,58,58,30,1,0.03333333333333333,1.0,0.028068331018330877
random_graph::node_attribute_modify,1,137,58,58,30,0,0.0,1.0,0.034337701484656244
random_graph::node_attribute_modify,1,2026,58,58,30,0,0.0,1.0,0.012065319178021209
random_graph::node_attribute_modify,3,7,58,58,30,1,0.03333333333333333,1.0,0.06871718682655788
random_graph::node_attribute_modify,3,17,58,58,30,1,0.03333333333333333,1.0,0.0876787490408285
random_graph::node_attribute_modify,3,29,58,58,30,1,0.03333333333333333,1.0,0.12206795730130188
random_graph::node_attribute_modify,3,42,58,58,30,0,0.0,1.0,0.09469383946258324
random_graph::node_attribute_modify,3,61,58,58,30,2,0.06666666666666667,1.0,0.11690907930707294
random_graph::node_attribute_modify,3,73,58,58,30,1,0.03333333333333333,1.0,0.0499808276669295
random_graph::node_attribute_modify,3,89,58,58,30,0,0.0,1.0,0.08076467581681988
random_graph::node_attribute_modify,3,101,58,58,30,1,0.03333333333333333,1.0,0.10305040208097554
random_graph::node_attribute_modify,3,137,58,58,30,0,0.0,1.0,0.09585322682037146
random_graph::node_attribute_modify,3,2026,58,58,30,3,0.1,1.0,0.09212910093487395
random_graph::node_attribute_modify,5,7,58,58,30,1,0.03333333333333333,1.0,0.11602911653233493
random_graph::node_attribute_modify,5,17,58,58,30,2,0.06666666666666667,1.0,0.09792524168149563
random_graph::node_attribute_modify,5,29,58,58,30,1,0.03333333333333333,1.0,0.13596651225051967
random_graph::node_attribute_modify,5,42,58,58,30,1,0.03333333333333333,1.0,0.10123180298322233
random_graph::node_attribute_modify,5,61,58,58,30,3,0.1,1.0,0.14477004284480927
random_graph::node_attribute_modify,5,73,58,58,30,1,0.03333333333333333,1.0,0.06293621795123948
random_graph::node_attribute_modify,5,89,58,58,30,1,0.03333333333333333,1.0,0.10937168197746013
random_graph::node_attribute_modify,5,101,58,58,30,3,0.1,1.0,0.1505687733298328
random_graph::node_attribute_modify,5,137,58,58,30,1,0.03333333333333333,1.0,0.09602052980728422
random_graph::node_attribute_modify,5,2026,58,58,30,2,0.06666666666666667,1.0,0.07627302510191888
random_graph::node_delete,1,7,58,58,30,1,0.03333333333333333,1.0,0.019515607240994003
random_graph::node_delete,1,17,58,58,30,1,0.03333333333333333,1.0,0.07066560192631213
random_graph::node_delete,1,29,58,58,30,1,0.03333333333333333,1.0,0.07852539609224093
random_graph::node_delete,1,42,58,58,30,0,0.0,1.0,0.07810168656262947
random_graph::node_delete,1,61,58,58,30,0,0.0,1.0,0.025842234988573298
random_graph::node_delete,1,73,58,58,30,1,0.03333333333333333,1.0,0.020472241192478372
random_graph::node_delete,1,89,58,58,30,0,0.0,1.0,0.04545301091332372
random_graph::node_delete,1,101,58,58,30,0,0.0,1.0,0.05287165595421773
random_graph::node_delete,1,137,58,58,30,0,0.0,1.0,0.04545286061302739
random_graph::node_delete,1,2026,58,58,30,0,0.0,1.0,0.04546637823675344
random_graph::node_delete,3,7,58,45,24,2,0.08333333333333333,0.7758620689655172,0.09722205482901156
random_graph::node_delete,3,17,58,45,24,2,0.08333333333333333,0.7758620689655172,0.06628579928123127
random_graph::node_delete,3,29,58,45,24,1,0.041666666666666664,0.7758620689655172,0.050485666296078965
random_graph::node_delete,3,42,58,43,23,0,0.0,0.7413793103448276,0.05131584057521486
random_graph::node_delete,3,61,58,45,24,0,0.0,0.7758620689655172,0.08173802014247863
random_graph::node_delete,3,73,58,43,23,1,0.043478260869565216,0.7413793103448276,0.05793301814431331
random_graph::node_delete,3,89,58,43,23,0,0.0,0.7413793103448276,0.0724932077101243
random_graph::node_delete,3,101,58,45,24,0,0.0,0.7758620689655172,0.04534063922329912
random_graph::node_delete,3,137,58,43,23,2,0.08695652173913043,0.7413793103448276,0.09012967697955669
random_graph::node_delete,3,2026,58,45,24,0,0.0,0.7758620689655172,0.05565392521704349
random_graph::node_delete,5,7,58,42,23,2,0.08695652173913043,0.7241379310344828,0.09358860358412457
